"week_num","Pools_Tested","Positive_Pools","Total_Tested","MIR"
"2007-22",10,0,301,0
"2007-23",74,0,2963,0
"2007-24",21,0,600,0
"2007-25",74,0,2336,0
"2007-26",65,0,2309,0
"2007-27",62,1,1894,0.527983104540655
"2007-28",94,0,2860,0
"2007-29",108,0,3967,0
"2007-30",80,1,2642,0.378501135503407
"2007-31",93,1,2693,0.371333085777943
"2007-32",101,3,2590,1.15830115830116
"2007-33",102,5,2263,2.20945647370747
"2007-34",94,1,1527,0.654878847413229
"2007-35",79,3,1363,2.20102714600147
"2007-36",45,1,725,1.37931034482759
"2007-37",55,2,1125,1.77777777777778
"2007-38",32,0,373,0
"2007-39",34,1,378,2.64550264550265
"2007-40",17,1,179,5.58659217877095
"2007-41",5,0,189,0
"2008-23",3,0,112,0
"2008-24",22,0,733,0
"2008-25",5,0,128,0
"2008-26",17,0,627,0
"2008-27",39,0,1798,0
"2008-28",31,0,1295,0
"2008-29",36,0,1576,0
"2008-30",35,1,1508,0.663129973474801
"2008-31",26,2,1034,1.93423597678917
"2008-32",43,1,1569,0.637348629700446
"2008-33",72,6,2639,2.27358848048503
"2008-34",61,3,1914,1.56739811912226
"2008-35",44,2,1305,1.53256704980843
"2008-36",46,2,1299,1.53964588144727
"2008-37",35,3,945,3.17460317460317
"2008-38",53,6,1591,3.77121307353866
"2008-39",12,0,348,0
"2008-40",20,3,602,4.98338870431894
"2008-41",7,2,173,11.5606936416185
"2009-26",17,0,592,0
"2009-27",7,0,285,0
"2009-28",4,0,99,0
"2009-29",28,1,1021,0.979431929480901
"2009-30",66,0,2997,0
"2009-31",47,0,2189,0
"2009-32",54,1,2398,0.417014178482068
"2009-33",75,0,3552,0
"2009-34",67,4,3164,1.26422250316056
"2009-35",69,4,3229,1.23877361412202
"2009-36",54,6,2396,2.50417362270451
"2009-37",38,1,1600,0.625
"2009-38",49,8,2051,3.90053632374451
"2009-39",38,2,1525,1.31147540983607
"2009-40",44,4,2139,1.8700327255727
"2009-41",13,1,562,1.77935943060498
"2010-18",2,0,48,0
"2010-20",3,0,116,0
"2010-21",2,0,84,0
"2010-22",2,0,102,0
"2010-24",2,0,95,0
"2010-26",8,0,376,0
"2010-27",29,0,1260,0
"2010-28",35,0,1269,0
"2010-29",28,1,1077,0.928505106778087
"2010-30",28,3,812,3.69458128078818
"2010-31",64,3,1732,1.73210161662818
"2010-32",31,0,1164,0
"2010-33",26,3,770,3.8961038961039
"2010-34",20,0,552,0
"2010-35",34,6,1018,5.89390962671906
"2010-36",18,1,316,3.16455696202532
"2010-37",14,1,314,3.18471337579618
"2010-38",22,4,607,6.58978583196046
"2010-39",14,0,336,0
"2010-40",1,0,5,0
"2011-25",37,0,1602,0
"2011-26",21,0,813,0
"2011-27",34,0,1451,0
"2011-28",29,0,1117,0
"2011-29",32,0,1318,0
"2011-30",45,2,1730,1.15606936416185
"2011-31",47,3,1711,1.75336060783168
"2011-32",67,13,2676,4.85799701046338
"2011-33",39,6,1136,5.28169014084507
"2011-34",50,15,1446,10.3734439834025
"2011-35",64,2,1492,1.34048257372654
"2011-36",65,2,2149,0.930665425779432
"2011-37",53,11,1610,6.83229813664596
"2011-38",34,1,848,1.17924528301887
"2011-39",37,1,1220,0.819672131147541
"2011-40",7,0,60,0
"2011-42",12,0,117,0
"2012-21",1,0,45,0
"2012-23",16,0,676,0
"2012-24",46,0,1403,0
"2012-25",75,0,3143,0
"2012-26",71,0,2859,0
"2012-27",30,0,928,0
"2012-28",132,4,5349,0.747803327724808
"2012-29",147,35,5492,6.37290604515659
"2012-30",56,10,2297,4.3535045711798
"2012-31",101,26,3846,6.76027041081643
"2012-32",104,12,2608,4.60122699386503
"2012-33",177,25,4142,6.03573153066152
"2012-34",84,19,2042,9.30460333006856
"2012-35",119,5,3771,1.3259082471493
